StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q3,Q2,Q4,Q5
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Consent to Participate in an Experimental Study
Title: Expertise within Working Memory and Fluid Intelligence




















Description:

You will be asked to complete a series of different tasks testing expertise, working memory, and fluid intelligence. The entire experiment will take approximately one and a half hours. You will receive three credits for your participation. 
Risks and Benefits:

There are no obvious risks of participating in this experiment.   Confidentiality:
We will not put your name on any of your tests.  Only Addie Wikowsky and her advisor will have access to the data collected for this study.  All data associated with this study will remain confidential.  
Right to Withdraw:
You do not have to take part in this study.  If you start the study and decide that you do not want to finish, all you have to do is to tell the research assistant in person, by letter, or by tele­phone at add0623@missouristate.edu.  Whether or not you choose to participate or to withdraw will not affect your standing with the Department of Psychology, or with the University, and it will not cause you to lose any benefits to which you are entitled.   Experimental credit will be prorated based on the amount of time you spent in the study. 
IRB Approval:
This study has been reviewed by Missouri State University’s Institutional Review Board (IRB). The IRB has determined that this study fulfills the human research subject protections obligations required by state and federal law and University policies.  If you have any questions, concerns, or reports regarding your rights as a participant of research, please contact the Office Research Compliance at 836-4132.


































Statement of Consent
I have read the above information.  I have been given a copy of this form.  I have had an opportunity to ask questions, and I have received answers.  I consent to participate in the study.","The researcher will assign you a participant number.



Please put that number in the box below.



Please select this link when instructed to do so: click here.



**This is not a repeated question.","The researcher will assign you a participant number.



Please put that number in the box below.



Please select this link when instructed to do so: click here.



*This is not a repeated question.","Please take this typing test when instructed to do so. You will click on the link below, select the 1-minute test for ""Rules of Baseball.""



 Click here.



Below, please enter the adjusted typing score.",Please enter the error score from the typing test.
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID5_TEXT""}"
2019-04-18 08:27:43,2019-04-18 08:54:53,IP Address,146.7.80.197,100,1630,True,2019-04-18 08:54:54,R_3m4uzxbf9ZOiZyh,,,,,37.198699951171875,-93.2783966064453125,anonymous,EN,"Yes, I consent to participate in this study.",,,,20
2019-04-18 08:28:28,2019-04-18 08:55:51,IP Address,146.7.80.199,100,1642,True,2019-04-18 08:55:51,R_1mIOWyTZYhqSuwL,,,,,37.198699951171875,-93.2783966064453125,anonymous,EN,"Yes, I consent to participate in this study.",,,,1
2019-04-18 10:24:42,2019-04-18 11:13:29,IP Address,146.7.80.208,100,2926,True,2019-04-18 11:13:29,R_1FKurvEJsEmMoIB,,,,,37.198699951171875,-93.2783966064453125,anonymous,EN,"Yes, I consent to participate in this study.",p4,p4,21,0
2019-04-18 08:55:11,2019-04-18 09:14:09,IP Address,146.7.80.197,40,1137,False,2019-04-25 09:14:16,R_PCD2oQ8mL1g0FS9,,,,,,,anonymous,EN,"Yes, I consent to participate in this study.",,P2,,
2019-04-26 10:49:52,2019-04-26 11:12:04,IP Address,146.7.81.163,100,1331,True,2019-04-26 11:12:04,R_2f6Xa98q6cPmpT5,,,,,37.198699951171875,-93.2783966064453125,anonymous,EN,"Yes, I consent to participate in this study.",P8,P8,41 WPN,4
2019-04-26 10:49:35,2019-04-26 11:15:35,IP Address,146.7.81.197,100,1560,True,2019-04-26 11:15:36,R_33DyU1VkERtL3gr,,,,,37.198699951171875,-93.2783966064453125,anonymous,EN,"Yes, I consent to participate in this study.",P9,P9,32,1
2019-04-30 13:04:16,2019-04-30 13:23:03,IP Address,146.7.81.83,100,1127,True,2019-04-30 13:23:03,R_plwAcwIBjND33Vf,,,,,37.198699951171875,-93.2783966064453125,anonymous,EN,"Yes, I consent to participate in this study.",p12,p-12,18,19
2019-04-25 08:31:45,2019-04-25 08:58:58,IP Address,146.7.80.210,80,1633,False,2019-05-02 08:59:34,R_3DoxZSGYjQrtDIg,,,,,,,anonymous,EN,"Yes, I consent to participate in this study.",,P7,59,3
2019-05-02 12:58:10,2019-05-02 13:38:33,IP Address,146.7.80.84,100,2423,True,2019-05-02 13:38:34,R_1OpqITnSoVrbxIO,,,,,37.198699951171875,-93.2783966064453125,anonymous,EN,"Yes, I consent to participate in this study.",p14,P14,54,0
2019-05-02 12:58:10,2019-05-02 13:40:44,IP Address,146.7.81.83,100,2553,True,2019-05-02 13:40:44,R_25EH2chrbHxoxrd,,,,,37.198699951171875,-93.2783966064453125,anonymous,EN,"Yes, I consent to participate in this study.",P15,P15,49,5
2019-05-03 10:52:34,2019-05-03 11:08:39,IP Address,146.7.81.163,100,964,True,2019-05-03 11:08:39,R_DxdIyoY4yiNOC09,,,,,37.198699951171875,-93.2783966064453125,anonymous,EN,"Yes, I consent to participate in this study.",P16,P16,39,3
