StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Consent to Participate in an Experimental Study
Title: Expertise within Working Memory and Fluid Intelligence




















Description:

You will be asked to complete a series of different tasks testing expertise, working memory, and fluid intelligence. The entire experiment will take approximately one and a half hours. You will receive three credits for your participation. 
Risks and Benefits:

There are no obvious risks of participating in this experiment.   Confidentiality:
We will not put your name on any of your tests.  Only Addie Wikowsky and her advisor will have access to the data collected for this study.  All data associated with this study will remain confidential.  
Right to Withdraw:
You do not have to take part in this study.  If you start the study and decide that you do not want to finish, all you have to do is to tell the research assistant in person, by letter, or by tele­phone at add0623@missouristate.edu.  Whether or not you choose to participate or to withdraw will not affect your standing with the Department of Psychology, or with the University, and it will not cause you to lose any benefits to which you are entitled.   Experimental credit will be prorated based on the amount of time you spent in the study. 
IRB Approval:
This study has been reviewed by Missouri State University’s Institutional Review Board (IRB). The IRB has determined that this study fulfills the human research subject protections obligations required by state and federal law and University policies.  If you have any questions, concerns, or reports regarding your rights as a participant of research, please contact the Office Research Compliance at 836-4132.


































Statement of Consent
I have read the above information.  I have been given a copy of this form.  I have had an opportunity to ask questions, and I have received answers.  I consent to participate in the study.","The researcher will assign you a participant number.



Please put that number in the box below.



Please select this link when instructed to do so: click here.



*This is not a repeated question.","The researcher will assign you a participant number.



Please put that number in the box below.



Please select this link when instructed to do so: click here.



**This is not a repeated question.","Please take this typing test when instructed to do so. You will click on the link below, select the 1-minute test for ""Rules of Baseball.""



 Click here.



Below, please enter the adjusted typing score.",Please enter the error score from the typing test.
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID5_TEXT""}"
4/18/19 8:27,4/18/19 8:54,0,,100,1630,1,4/18/19 8:54,R_3m4uzxbf9ZOiZyh,,,,,,,anonymous,EN,1,,,,20
4/18/19 8:28,4/18/19 8:55,0,,100,1642,1,4/18/19 8:55,R_1mIOWyTZYhqSuwL,,,,,,,anonymous,EN,1,,,,1
4/18/19 10:24,4/18/19 11:13,0,,100,2926,1,4/18/19 11:13,R_1FKurvEJsEmMoIB,,,,,,,anonymous,EN,1,p4,p4,21,0
4/18/19 8:55,4/18/19 9:14,0,,40,1137,0,4/25/19 9:14,R_PCD2oQ8mL1g0FS9,,,,,,,anonymous,EN,1,P2,,,
4/26/19 10:49,4/26/19 11:12,0,,100,1331,1,4/26/19 11:12,R_2f6Xa98q6cPmpT5,,,,,,,anonymous,EN,1,P8,P8,41 WPN,4
4/26/19 10:49,4/26/19 11:15,0,,100,1560,1,4/26/19 11:15,R_33DyU1VkERtL3gr,,,,,,,anonymous,EN,1,P9,P9,32,1
4/30/19 13:04,4/30/19 13:23,0,,100,1127,1,4/30/19 13:23,R_plwAcwIBjND33Vf,,,,,,,anonymous,EN,1,p-12,p12,18,19
4/25/19 8:31,4/25/19 8:58,0,,80,1633,0,5/2/19 8:59,R_3DoxZSGYjQrtDIg,,,,,,,anonymous,EN,1,P7,,59,3
5/2/19 12:58,5/2/19 13:38,0,,100,2423,1,5/2/19 13:38,R_1OpqITnSoVrbxIO,,,,,,,anonymous,EN,1,P14,p14,54,0
5/2/19 12:58,5/2/19 13:40,0,,100,2553,1,5/2/19 13:40,R_25EH2chrbHxoxrd,,,,,,,anonymous,EN,1,P15,P15,49,5
5/3/19 10:52,5/3/19 11:08,0,,100,964,1,5/3/19 11:08,R_DxdIyoY4yiNOC09,,,,,,,anonymous,EN,1,P16,P16,39,3
5/3/19 10:52,5/3/19 11:31,0,,100,2341,1,5/3/19 11:31,R_2awPLCzGDU9O5RK,,,,,,,anonymous,EN,1,P17,P17,63,63
5/7/19 13:03,5/7/19 13:55,0,,100,3111,1,5/7/19 13:55,R_2CBzSQi0P42RnfX,,,,,,,anonymous,EN,1,P24,P24,85,3
5/7/19 13:03,5/7/19 13:55,0,,100,3114,1,5/7/19 13:55,R_3JFql6UlnKNoOOb,,,,,,,anonymous,EN,1,P20,P20,69,1
5/7/19 13:03,5/7/19 13:55,0,,100,3124,1,5/7/19 13:55,R_2TFxiZmE1Vtcozr,,,,,,,anonymous,EN,1,P23,P23,26,1
5/7/19 13:04,5/7/19 13:55,0,,100,3083,1,5/7/19 13:55,R_1d4ZWTRgptKi3Sq,,,,,,,anonymous,EN,1,P21,P21,37,1
